x,cauchy,dog_leg
0,4.075799008163493,4.066955535362682
1,4.075691537264315,4.066806637397788
2,4.075584041983879,4.066657688374442
3,4.075476522310329,4.066508688257616
4,4.075368978231801,4.066359637012249
5,4.075261409736421,4.066210534603243
6,4.075153816812307,4.066061380995465
7,4.075046199447566,4.065912176153744
8,4.074938557630294,4.065762920042872
9,4.074830891348585,4.065613612627609
10,4.074723200590515,4.065464253872673
11,4.074615485344155,4.065314843742749
12,4.074507745597566,4.065165382202487
13,4.074399981338801,4.065015869216496
14,4.074292192555902,4.064866304749352
15,4.074184379236900,4.064716688765594
16,4.074076541369821,4.064567021229721
17,4.073968678942677,4.064417302106200
18,4.073860791943474,4.064267531359460
19,4.073752880360208,4.064117708953891
20,4.073644944180863,4.063967834853846
21,4.073536983393416,4.063817909023646
22,4.073428997985835,4.063667931427569
23,4.073320987946077,4.063517902029861
24,4.073212953262090,4.063367820794726
25,4.073104893921811,4.063217687686335
26,4.072996809913171,4.063067502668821
27,4.072888701224089,4.062917265706277
28,4.072780567842475,4.062766976762762
29,4.072672409756230,4.062616635802297
30,4.072564226953244,4.062466242788865
31,4.072456019421399,4.062315797686411
32,4.072347787148566,4.062165300458844
33,4.072239530122609,4.062014751070034
34,4.072131248331378,4.061864149483815
35,4.072022941762720,4.061713495663983
36,4.071914610404465,4.061562789574295
37,4.071806254244438,4.061412031178470
38,4.071697873270455,4.061261220440193
39,4.071589467470318,4.061110357323107
40,4.071481036831824,4.060959441790819
41,4.071372581342757,4.060808473806897
42,4.071264100990894,4.060657453334873
43,4.071155595764000,4.060506380338238
44,4.071047065649832,4.060355254780449
45,4.070938510636136,4.060204076624919
46,4.070829930710651,4.060052845835029
47,4.070721325861101,4.059901562374119
48,4.070612696075205,4.059750226205488
49,4.070504041340671,4.059598837292403
50,4.070395361645198,4.059447395598085
51,4.070286656976472,4.059295901085723
52,4.070177927322173,4.059144353718464
53,4.070069172669970,4.058992753459417
54,4.069960393007521,4.058841100271653
55,4.069851588322476,4.058689394118205
56,4.069742758602473,4.058537634962065
57,4.069633903835142,4.058385822766187
58,4.069525024008104,4.058233957493487
59,4.069416119108968,4.058082039106842
60,4.069307189125333,4.057930067569090
61,4.069198234044791,4.057778042843029
62,4.069089253854920,4.057625964891418
63,4.068980248543292,4.057473833676979
64,4.068871218097467,4.057321649162392
65,4.068762162504995,4.057169411310301
66,4.068653081753417,4.057017120083306
67,4.068543975830264,4.056864775443973
68,4.068434844723056,4.056712377354824
69,4.068325688419304,4.056559925778346
70,4.068216506906510,4.056407420676982
71,4.068107300172163,4.056254862013138
72,4.067998068203746,4.056102249749181
73,4.067888810988728,4.055949583847436
74,4.067779528514570,4.055796864270190
75,4.067670220768723,4.055644090979690
76,4.067560887738628,4.055491263938142
77,4.067451529411716,4.055338383107713
78,4.067342145775408,4.055185448450532
79,4.067232736817114,4.055032459928683
80,4.067123302524234,4.054879417504216
81,4.067013842884160,4.054726321139135
82,4.066904357884271,4.054573170795408
83,4.066794847511938,4.054419966434962
84,4.066685311754521,4.054266708019683
85,4.066575750599370,4.054113395511416
86,4.066466164033825,4.053960028871965
87,4.066356552045216,4.053806608063098
88,4.066246914620860,4.053653133046537
89,4.066137251748071,4.053499603783967
90,4.066027563414145,4.053346020237031
91,4.065917849606371,4.053192382367331
92,4.065808110312028,4.053038690136429
93,4.065698345518387,4.052884943505846
94,4.065588555212703,4.052731142437061
95,4.065478739382225,4.052577286891514
96,4.065368898014193,4.052423376830603
97,4.065259031095832,4.052269412215685
98,4.065149138614360,4.052115393008076
99,4.065039220556984,4.051961319169052
100,4.064929276910901,4.051807190659844
101,4.064819307663297,4.051653007441645
102,4.064709312801348,4.051498769475609
103,4.064599292312220,4.051344476722842
104,4.064489246183069,4.051190129144413
105,4.064379174401038,4.051035726701350
106,4.064269076953264,4.050881269354637
107,4.064158953826870,4.050726757065218
108,4.064048805008969,4.050572189793993
109,4.063938630486668,4.050417567501825
110,4.063828430247055,4.050262890149528
111,4.063718204277216,4.050108157697883
112,4.063607952564223,4.049953370107621
113,4.063497675095136,4.049798527339437
114,4.063387371857009,4.049643629353979
115,4.063277042836879,4.049488676111856
116,4.063166688021780,4.049333667573635
117,4.063056307398729,4.049178603699839
118,4.062945900954737,4.049023484450951
119,4.062835468676802,4.048868309787407
120,4.062725010551913,4.048713079669607
121,4.062614526567046,4.048557794057904
122,4.062504016709170,4.048402452912610
123,4.062393480965240,4.048247056193995
124,4.062282919322204,4.048091603862284
125,4.062172331766995,4.047936095877663
126,4.062061718286539,4.047780532200271
127,4.061951078867750,4.047624912790208
128,4.061840413497531,4.047469237607528
129,4.061729722162776,4.047313506612245
130,4.061619004850367,4.047157719764326
131,4.061508261547174,4.047001877023700
