x,f(x)
0,1.428101408948683
1,1.428075837898086
2,1.428050259830584
3,1.428024674742475
4,1.427999082630055
5,1.427973483489619
6,1.427947877317454
7,1.427922264109850
8,1.427896643863089
9,1.427871016573454
10,1.427845382237223
11,1.427819740850672
12,1.427794092410073
13,1.427768436911697
14,1.427742774351809
15,1.427717104726675
16,1.427691428032555
17,1.427665744265707
18,1.427640053422387
19,1.427614355498847
20,1.427588650491336
21,1.427562938396101
22,1.427537219209385
23,1.427511492927429
24,1.427485759546471
25,1.427460019062745
26,1.427434271472483
27,1.427408516771914
28,1.427382754957263
29,1.427356986024754
30,1.427331209970607
31,1.427305426791038
32,1.427279636482261
33,1.427253839040488
34,1.427228034461927
35,1.427202222742783
36,1.427176403879257
37,1.427150577867549
38,1.427124744703856
39,1.427098904384369
40,1.427073056905281
41,1.427047202262777
42,1.427021340453042
43,1.426995471472257
44,1.426969595316600
45,1.426943711982247
46,1.426917821465370
47,1.426891923762137
48,1.426866018868716
49,1.426840106781269
50,1.426814187495956
51,1.426788261008934
52,1.426762327316358
53,1.426736386414378
54,1.426710438299144
55,1.426684482966798
56,1.426658520413484
57,1.426632550635341
58,1.426606573628504
59,1.426580589389105
60,1.426554597913275
61,1.426528599197141
62,1.426502593236826
63,1.426476580028451
64,1.426450559568133
65,1.426424531851986
66,1.426398496876122
67,1.426372454636650
68,1.426346405129674
69,1.426320348351296
70,1.426294284297617
71,1.426268212964731
72,1.426242134348731
73,1.426216048445708
74,1.426189955251747
75,1.426163854762933
76,1.426137746975347
77,1.426111631885064
78,1.426085509488161
79,1.426059379780707
80,1.426033242758771
81,1.426007098418417
82,1.425980946755709
83,1.425954787766703
84,1.425928621447457
85,1.425902447794021
86,1.425876266802446
87,1.425850078468777
88,1.425823882789058
89,1.425797679759329
90,1.425771469375625
91,1.425745251633981
92,1.425719026530427
93,1.425692794060990
94,1.425666554221695
95,1.425640307008562
96,1.425614052417608
97,1.425587790444849
98,1.425561521086296
99,1.425535244337957
100,1.425508960195837
101,1.425482668655938
102,1.425456369714258
103,1.425430063366793
104,1.425403749609536
105,1.425377428438474
106,1.425351099849595
107,1.425324763838881
108,1.425298420402310
109,1.425272069535860
110,1.425245711235504
111,1.425219345497211
112,1.425192972316947
113,1.425166591690677
114,1.425140203614360
115,1.425113808083953
116,1.425087405095410
117,1.425060994644680
118,1.425034576727712
119,1.425008151340450
120,1.424981718478833
121,1.424955278138799
122,1.424928830316283
123,1.424902375007215
124,1.424875912207522
125,1.424849441913130
126,1.424822964119959
127,1.424796478823928
128,1.424769986020950
129,1.424743485706937
130,1.424716977877797
131,1.424690462529434
132,1.424663939657751
133,1.424637409258644
134,1.424610871328009
135,1.424584325861737
136,1.424557772855717
137,1.424531212305833
138,1.424504644207967
139,1.424478068557997
140,1.424451485351799
141,1.424424894585242
142,1.424398296254197
143,1.424371690354528
144,1.424345076882096
145,1.424318455832760
146,1.424291827202374
147,1.424265190986791
148,1.424238547181858
149,1.424211895783420
150,1.424185236787320
151,1.424158570189394
152,1.424131895985478
153,1.424105214171404
154,1.424078524742999
155,1.424051827696087
156,1.424025123026492
157,1.423998410730029
158,1.423971690802515
159,1.423944963239759
160,1.423918228037570
161,1.423891485191752
162,1.423864734698107
163,1.423837976552431
164,1.423811210750519
165,1.423784437288162
166,1.423757656161147
167,1.423730867365257
168,1.423704070896274
169,1.423677266749975
170,1.423650454922133
171,1.423623635408518
172,1.423596808204897
173,1.423569973307034
174,1.423543130710688
175,1.423516280411617
176,1.423489422405572
177,1.423462556688303
178,1.423435683255558
179,1.423408802103077
180,1.423381913226601
181,1.423355016621865
182,1.423328112284601
183,1.423301200210539
184,1.423274280395402
185,1.423247352834914
186,1.423220417524792
187,1.423193474460752
188,1.423166523638504
189,1.423139565053757
190,1.423112598702214
191,1.423085624579577
192,1.423058642681543
193,1.423031653003805
194,1.423004655542055
195,1.422977650291978
196,1.422950637249257
