Iteration,log_10 Error
318.000000,1.932807
319.000000,1.932521
320.000000,1.932351
321.000000,1.931963
322.000000,1.931674
323.000000,1.931509
324.000000,1.931116
325.000000,1.930825
326.000000,1.930658
327.000000,1.930264
328.000000,1.929974
329.000000,1.929798
330.000000,1.929409
331.000000,1.929122
332.000000,1.928930
333.000000,1.928551
334.000000,1.928269
335.000000,1.928055
336.000000,1.927690
337.000000,1.927415
338.000000,1.927177
339.000000,1.926828
340.000000,1.926561
341.000000,1.926296
342.000000,1.925966
343.000000,1.925706
344.000000,1.925415
345.000000,1.925103
346.000000,1.924950
347.000000,1.924534
348.000000,1.924241
349.000000,1.924032
350.000000,1.923657
351.000000,1.923381
352.000000,1.923122
353.000000,1.922783
354.000000,1.922680
355.000000,1.922221
356.000000,1.921914
357.000000,1.921724
358.000000,1.921330
359.000000,1.921048
360.000000,1.920791
361.000000,1.920448
362.000000,1.920332
363.000000,1.919877
364.000000,1.919574
365.000000,1.919358
366.000000,1.918980
367.000000,1.918707
368.000000,1.918420
369.000000,1.918098
370.000000,1.917914
371.000000,1.917508
372.000000,1.917226
373.000000,1.916951
374.000000,1.916618
375.000000,1.916448
376.000000,1.916027
377.000000,1.915742
378.000000,1.915468
379.000000,1.915132
380.000000,1.914955
381.000000,1.914537
382.000000,1.914254
383.000000,1.913968
384.000000,1.913640
385.000000,1.913438
386.000000,1.913039
387.000000,1.912764
388.000000,1.912457
389.000000,1.912145
390.000000,1.911903
391.000000,1.911536
392.000000,1.911390
393.000000,1.910939
394.000000,1.910648
395.000000,1.910361
396.000000,1.910030
397.000000,1.909809
398.000000,1.909420
399.000000,1.909291
400.000000,1.908821
401.000000,1.908527
402.000000,1.908237
403.000000,1.907906
404.000000,1.907672
405.000000,1.907291
406.000000,1.907131
407.000000,1.906684
408.000000,1.906399
409.000000,1.906086
410.000000,1.905774
411.000000,1.905500
412.000000,1.905152
413.000000,1.904927
414.000000,1.904534
415.000000,1.904370
416.000000,1.903921
417.000000,1.903638
418.000000,1.903313
419.000000,1.903010
420.000000,1.902711
421.000000,1.902383
422.000000,1.902115
423.000000,1.901758
424.000000,1.901526
425.000000,1.901134
426.000000,1.900944
427.000000,1.900512
428.000000,1.900367
429.000000,1.899892
430.000000,1.899606
431.000000,1.899470
432.000000,1.898719
433.000000,1.898360
434.000000,1.898112
435.000000,1.897730
436.000000,1.897504
437.000000,1.897101
438.000000,1.896895
439.000000,1.896471
440.000000,1.896285
441.000000,1.895841
442.000000,1.895673
443.000000,1.895210
444.000000,1.895057
445.000000,1.894577
446.000000,1.894436
447.000000,1.893944
448.000000,1.893811
449.000000,1.893309
450.000000,1.893180
451.000000,1.892673
452.000000,1.892543
453.000000,1.892035
454.000000,1.891900
455.000000,1.891396
456.000000,1.891252
457.000000,1.890756
458.000000,1.890599
459.000000,1.890115
460.000000,1.889941
461.000000,1.889472
462.000000,1.889280
463.000000,1.888829
464.000000,1.888616
465.000000,1.888185
466.000000,1.887951
467.000000,1.887542
468.000000,1.887286
469.000000,1.886898
470.000000,1.886620
471.000000,1.886254
472.000000,1.885956
473.000000,1.885611
474.000000,1.885293
475.000000,1.884968
476.000000,1.884633
477.000000,1.884326
478.000000,1.884077
479.000000,1.883374
480.000000,1.883056
481.000000,1.882859
482.000000,1.882109
483.000000,1.881784
484.000000,1.881611
485.000000,1.880838
486.000000,1.880510
487.000000,1.880327
488.000000,1.879560
489.000000,1.879235
490.000000,1.879009
491.000000,1.878275
492.000000,1.877959
493.000000,1.877664
494.000000,1.876985
495.000000,1.876845
496.000000,1.876312
497.000000,1.876078
498.000000,1.875650
499.000000,1.875352
500.000000,1.874996
501.000000,1.874855
502.000000,1.874038
503.000000,1.873714
504.000000,1.873396
505.000000,1.872728
506.000000,1.872545
507.000000,1.872052
508.000000,1.871774
509.000000,1.871391
510.000000,1.871054
511.000000,1.870919
512.000000,1.870366
513.000000,1.870109
514.000000,1.869699
515.000000,1.869369
516.000000,1.869044
517.000000,1.868667
518.000000,1.868042
519.000000,1.867805
520.000000,1.867368
521.000000,1.867044
522.000000,1.866711
523.000000,1.866335
524.000000,1.865705
525.000000,1.865456
526.000000,1.865030
527.000000,1.864693
528.000000,1.864550
529.000000,1.863992
530.000000,1.863705
531.000000,1.863323
532.000000,1.863077
533.000000,1.862326
534.000000,1.862103
535.000000,1.861638
536.000000,1.861307
537.000000,1.861170
538.000000,1.860595
539.000000,1.860299
540.000000,1.859924
541.000000,1.859599
542.000000,1.858913
543.000000,1.858647
544.000000,1.858232
545.000000,1.858003
546.000000,1.857227
547.000000,1.856980
548.000000,1.856537
549.000000,1.856360
550.000000,1.855533
551.000000,1.855291
552.000000,1.854840
553.000000,1.854655
554.000000,1.853831
555.000000,1.853578
556.000000,1.853139
557.000000,1.852889
558.000000,1.852122
559.000000,1.851844
560.000000,1.851436
561.000000,1.851079
562.000000,1.850409
563.000000,1.850098
564.000000,1.849731
565.000000,1.849250
566.000000,1.848694
567.000000,1.848350
568.000000,1.848149
569.000000,1.847628
570.000000,1.847469
571.000000,1.846608
572.000000,1.846323
573.000000,1.845915
574.000000,1.845482
575.000000,1.844877
576.000000,1.844532
577.000000,1.844322
578.000000,1.843805
579.000000,1.843564
580.000000,1.842773
581.000000,1.842457
582.000000,1.842319
583.000000,1.841692
584.000000,1.841343
585.000000,1.841114
586.000000,1.840617
587.000000,1.840281
588.000000,1.839576
589.000000,1.839234
590.000000,1.839020
591.000000,1.838496
592.000000,1.838172
593.000000,1.837453
594.000000,1.837106
595.000000,1.836878
596.000000,1.836371
597.000000,1.835987
598.000000,1.835323
599.000000,1.835162
600.000000,1.834281
601.000000,1.833946
602.000000,1.833744
603.000000,1.833189
604.000000,1.832827
605.000000,1.832139
606.000000,1.831944
607.000000,1.831090
608.000000,1.830742
609.000000,1.830500
610.000000,1.829999
611.000000,1.829520
612.000000,1.828944
613.000000,1.828545
614.000000,1.827888
615.000000,1.827569
616.000000,1.826832
617.000000,1.826587
618.000000,1.825775
619.000000,1.825592
620.000000,1.824717
621.000000,1.824578
622.000000,1.823658
623.000000,1.823295
624.000000,1.823008
625.000000,1.822564
626.000000,1.822095
627.000000,1.820711
628.000000,1.820376
629.000000,1.820147
630.000000,1.819597
631.000000,1.819050
632.000000,1.818533
633.000000,1.818238
634.000000,1.816680
635.000000,1.816341
636.000000,1.816097
637.000000,1.815561
638.000000,1.815204
639.000000,1.813699
640.000000,1.813346
641.000000,1.813068
642.000000,1.812585
643.000000,1.811895
644.000000,1.810706
645.000000,1.810485
646.000000,1.809628
647.000000,1.809177
648.000000,1.808556
649.000000,1.808166
650.000000,1.806680
