Iteration,Log Error
81.0000,-3.4058060212542274
82.0000,-3.4078175966786182
83.0000,-3.4097561885687453
84.0000,-3.4120082674464296
85.0000,-3.4139832169906228
86.0000,-3.4248406411017838
87.0000,-3.4497038360075631
88.0000,-3.4918679302258093
89.0000,-3.5646928652095062
90.0000,-3.6548961089484200
91.0000,-3.7191387434309777
92.0000,-3.7395634092665118
93.0000,-3.7517960089152758
94.0000,-3.7620079753128333
95.0000,-3.7647967995464477
96.0000,-3.7665633106228054
97.0000,-3.7677285861610716
98.0000,-3.7700388766662321
99.0000,-3.7714407243149406
100.0000,-3.7758871045631199
101.0000,-3.7834087775576837
102.0000,-3.7931137010033500
103.0000,-3.7992680288140925
104.0000,-3.8243770581245480
105.0000,-3.8384395964094185
106.0000,-3.8855366429978071
107.0000,-3.8954714908147294
108.0000,-3.9025610759745750
109.0000,-3.9124810895229096
110.0000,-3.9147128518980456
111.0000,-3.9156716468401678
112.0000,-3.9172572257843674
113.0000,-3.9187121707048527
114.0000,-3.9262867352320039
115.0000,-3.9600884970386021
116.0000,-4.0595847077174314
117.0000,-4.2420285815465757
118.0000,-4.6133628185489641
119.0000,-4.8029422057873195
120.0000,-4.8484439095920022
121.0000,-4.8630342135465741
122.0000,-4.8680021729659186
123.0000,-4.8731108512302290
124.0000,-4.8748468016933080
125.0000,-4.8759728115112528
126.0000,-4.8772266668442015
127.0000,-4.8795257861592640
128.0000,-4.8818389184285422
129.0000,-4.8840569357744155
130.0000,-4.8928436809099587
131.0000,-4.9175861544761021
132.0000,-4.9356797717102516
133.0000,-5.0107304245175710
134.0000,-5.1148304571726459
135.0000,-5.1561993036652822
136.0000,-5.1831020685147760
137.0000,-5.1911527705001506
138.0000,-5.1997176680354258
139.0000,-5.2033607776729784
140.0000,-5.2060251664134602
141.0000,-5.2071084015341631
142.0000,-5.2097063909851551
143.0000,-5.2111858473085446
144.0000,-5.2149655592963082
145.0000,-5.2183845085007361
146.0000,-5.2211143890780942
147.0000,-5.2253144048823632
148.0000,-5.2358739612018956
149.0000,-5.2583196809261272
150.0000,-5.2954260251018512
151.0000,-5.3151258759222886
152.0000,-5.3400340545990037
153.0000,-5.3554568318030116
154.0000,-5.3622646655460837
155.0000,-5.3967709277716862
156.0000,-5.4843328927047841
157.0000,-5.5348088056265423
158.0000,-5.5413004254563374
159.0000,-5.6092015268851370
160.0000,-5.6283795839625537
161.0000,-5.6358266035146052
162.0000,-5.6401901487524109
163.0000,-5.6437679191321406
164.0000,-5.6446984328086378
165.0000,-5.6457173739403501
166.0000,-5.6483641432651623
167.0000,-5.6504695381202907
168.0000,-5.6625992308770083
169.0000,-5.6750841307079591
170.0000,-5.7016171212173319
171.0000,-5.7221782956564562
172.0000,-5.7852557011084231
