Iteration,Log Error
0.0000,4.2728829202989891
1.0000,3.4689681885827577
2.0000,3.1791608525813340
3.0000,2.8883959967735984
4.0000,2.7002154662271929
5.0000,2.5881219721804070
6.0000,2.5180191818383402
7.0000,2.4600908283878558
8.0000,2.3916445858761288
9.0000,2.3407168140412491
10.0000,2.2966627347201327
11.0000,2.2391512061844301
12.0000,2.1962705960985827
13.0000,2.1612398448921586
14.0000,2.1282605500022349
15.0000,2.0907512183885246
16.0000,2.0599327254794320
17.0000,2.0320715825519113
18.0000,2.0023164250660073
19.0000,1.9618338099140664
20.0000,1.9230628546961053
21.0000,1.8831632172087953
22.0000,1.8281455574782601
23.0000,1.7630075257209876
24.0000,1.6967131102848190
25.0000,1.6266131447575665
26.0000,1.5365378768453981
27.0000,1.4247711507937675
28.0000,1.3112292076159462
29.0000,1.1935796248542865
30.0000,1.0705209413191148
31.0000,0.9417520121664932
32.0000,0.7922437035371764
33.0000,0.5787868372101638
34.0000,0.2632276577199434
35.0000,-0.1156194087084847
36.0000,-0.1733697840267990
37.0000,-0.2119015439335030
38.0000,-0.2621607249846394
39.0000,-0.2855638140295556
40.0000,-0.2940231295466368
41.0000,-0.2997814848831344
42.0000,-0.3038354454347514
43.0000,-0.3068193496045196
44.0000,-0.3171709251635825
45.0000,-0.3210370700355927
46.0000,-0.3229018966766304
47.0000,-0.3244553368254354
48.0000,-0.3258378362569055
49.0000,-0.4831435188839741
50.0000,-0.5054845896657378
51.0000,-0.5183961118041172
52.0000,-0.5263542022062758
53.0000,-0.5315312419532932
54.0000,-0.5350583882270668
55.0000,-0.5389914766633326
56.0000,-0.5426428654511940
57.0000,-0.5503836810241554
58.0000,-0.5580397143933247
59.0000,-0.5611720823183376
60.0000,-0.5632178196947111
61.0000,-0.5647304862853425
62.0000,-0.5742793919568918
63.0000,-0.5847318385953082
64.0000,-0.5889607477823425
65.0000,-0.5917352613293961
66.0000,-0.5937101033045634
67.0000,-0.5952378898750007
68.0000,-0.5965117220526944
69.0000,-0.5976339543495222
70.0000,-0.5990863201771282
71.0000,-0.6003038976682419
72.0000,-0.6013895202722936
73.0000,-0.6745346325357743
74.0000,-0.6874486689652503
75.0000,-0.7007538508357736
76.0000,-0.7064184530342821
77.0000,-0.7091380772815049
78.0000,-0.7110177991870754
79.0000,-0.7124496408684983
80.0000,-0.7137955510919313
