Iteration,Log Error
0.0000,4.2728829202989891
10.0000,2.3273408807261582
20.0000,2.1580222787420431
30.0000,2.0253104198177607
40.0000,1.9719022006182374
50.0000,1.9291243997851715
60.0000,1.8971058889537078
70.0000,1.8723613135588602
80.0000,1.8593256719848823
90.0000,1.8513959129110011
100.0000,1.8453221190520177
110.0000,1.8403939653074457
120.0000,1.8370935036672684
130.0000,1.8335063286486675
140.0000,1.8314451275335810
150.0000,1.8279582576796194
160.0000,1.8128641047868010
170.0000,1.8070377985116803
180.0000,1.8045567965989442
190.0000,1.8023623610116093
200.0000,1.8006550046179053
210.0000,1.7985662800384372
220.0000,1.7959173868756177
230.0000,1.7944856630468624
240.0000,1.7930760189957065
250.0000,1.7916997724135169
260.0000,1.7907718095794756
270.0000,1.7899646141954206
280.0000,1.7892374352055402
290.0000,1.7884007436400073
300.0000,1.7875913084066086
310.0000,1.7867703575174469
320.0000,1.7858828172307619
330.0000,1.7850190652590248
340.0000,1.7841860724344916
350.0000,1.7834262571314743
360.0000,1.7826299883971692
370.0000,1.7817661440146393
380.0000,1.7808381536943971
390.0000,1.7799468236211962
400.0000,1.7790724340449462
410.0000,1.7781534160013668
420.0000,1.7772256823014549
430.0000,1.7760937704887538
440.0000,1.7749210174256222
450.0000,1.7737460905784375
460.0000,1.7725167626469602
470.0000,1.7708636871928216
480.0000,1.7692738477083141
490.0000,1.7682181485347324
500.0000,1.7668230182531008
510.0000,1.7653749436946655
520.0000,1.7639606300714958
530.0000,1.7627092032128544
540.0000,1.7611578082018164
550.0000,1.7599301443580753
560.0000,1.7590057765997429
570.0000,1.7578651538375645
580.0000,1.7564521563708169
590.0000,1.7550345308990467
600.0000,1.7534620754931680
610.0000,1.7516667286205743
620.0000,1.7496686403703037
630.0000,1.7478746994022039
640.0000,1.7462407371119923
650.0000,1.7439221505521478
660.0000,1.7413965404832950
670.0000,1.7394779450704141
680.0000,1.7371884329583560
690.0000,1.7350126258224072
700.0000,1.7327856634653986
710.0000,1.7311562607984126
720.0000,1.7296606202179405
730.0000,1.7276993906522984
740.0000,1.7258777769675102
750.0000,1.7240422581003936
760.0000,1.7221453578523638
770.0000,1.7204977000822446
780.0000,1.7189531221830185
790.0000,1.7174905317269706
800.0000,1.7160560535831082
810.0000,1.7147499955626271
820.0000,1.7133519710427121
830.0000,1.7117451527980947
840.0000,1.7100288994139452
850.0000,1.7084013813480039
860.0000,1.7065285674325017
870.0000,1.7046242079263627
880.0000,1.7026994088279244
890.0000,1.7006888970993221
900.0000,1.6987746870667402
910.0000,1.6969142409447029
920.0000,1.6952294443863269
930.0000,1.6933547276320275
940.0000,1.6914241138767034
950.0000,1.6895751597422108
960.0000,1.6878077021816060
970.0000,1.6857533194595007
980.0000,1.6835847071097860
990.0000,1.6814378469059350
1000.0000,1.6795149481239264
1010.0000,1.6780939017866949
1020.0000,1.6767806809314187
1030.0000,1.6755402562534185
1040.0000,1.6741239060454387
1050.0000,1.6727439531924817
1060.0000,1.6712675828448642
1070.0000,1.6699644182460498
1080.0000,1.6687625145996126
1090.0000,1.6675054913341840
1100.0000,1.6663209563840315
1110.0000,1.6649866790782963
1120.0000,1.6633716103176879
1130.0000,1.6617532193151554
1140.0000,1.6596451978617517
1150.0000,1.6575762524209146
1160.0000,1.6557132585855978
1170.0000,1.6539824802746483
1180.0000,1.6523578464177244
1190.0000,1.6508498152347759
1200.0000,1.6494944502097739
1210.0000,1.6481632481073762
1220.0000,1.6466303905123016
1230.0000,1.6452448323596920
1240.0000,1.6437262479705932
1250.0000,1.6423264142257881
1260.0000,1.6404482032802012
1270.0000,1.6388361122929456
1280.0000,1.6369774909659209
1290.0000,1.6353132984903380
1300.0000,1.6337272719461602
1310.0000,1.6322295839515770
1320.0000,1.6306607193275926
1330.0000,1.6291571361612036
1340.0000,1.6276722226663867
1350.0000,1.6261447561100075
1360.0000,1.6244379092874919
1370.0000,1.6228657630045771
1380.0000,1.6213955840009204
1390.0000,1.6200122912120682
1400.0000,1.6183419475644838
1410.0000,1.6168220176643724
1420.0000,1.6153468128239914
1430.0000,1.6137789661364375
1440.0000,1.6123302142446552
1450.0000,1.6108619859024904
1460.0000,1.6090968201789695
1470.0000,1.6069062545990460
1480.0000,1.6054234515423458
1490.0000,1.6040343087889324
1500.0000,1.6027039266450371
1510.0000,1.6013357097950665
1520.0000,1.6000763689075626
1530.0000,1.5989107750912437
1540.0000,1.5975818864245201
1550.0000,1.5961584765037329
1560.0000,1.5947705651695603
1570.0000,1.5934703208773899
1580.0000,1.5921466395430104
1590.0000,1.5907981649996190
1600.0000,1.5893555731004738
1610.0000,1.5878402207793185
1620.0000,1.5864946167621412
1630.0000,1.5852205878993206
1640.0000,1.5838132492484720
1650.0000,1.5824207179546772
1660.0000,1.5812244149071695
1670.0000,1.5797422838294235
1680.0000,1.5778146449232553
1690.0000,1.5761338522461212
1700.0000,1.5745099668102378
1710.0000,1.5730799028729276
1720.0000,1.5718788695180350
1730.0000,1.5705732370896899
1740.0000,1.5691170450824317
1750.0000,1.5674505898833020
1760.0000,1.5659918461786557
1770.0000,1.5643964121963576
1780.0000,1.5629921697888967
1790.0000,1.5617267870981870
1800.0000,1.5601767139849028
1810.0000,1.5587354606642623
1820.0000,1.5570909161305762
1830.0000,1.5550451444075317
1840.0000,1.5534010921994046
1850.0000,1.5516964240711293
1860.0000,1.5499608639318811
1870.0000,1.5484555728783234
1880.0000,1.5467484965790572
1890.0000,1.5451868862548206
1900.0000,1.5434441563771724
1910.0000,1.5416936218746127
1920.0000,1.5397327421805478
1930.0000,1.5382877059211246
1940.0000,1.5369662740799193
1950.0000,1.5355797972425349
1960.0000,1.5341851742999950
1970.0000,1.5327419461951093
1980.0000,1.5314225807012816
1990.0000,1.5302556863334504
2000.0000,1.5288181286679132
2010.0000,1.5274603305692849
2020.0000,1.5260524839766965
2030.0000,1.5247461401082552
2040.0000,1.5232484715718781
2050.0000,1.5218078229383118
2060.0000,1.5204084705259955
2070.0000,1.5190718267997712
2080.0000,1.5177771133302169
2090.0000,1.5162463633117509
2100.0000,1.5153997718404140
2110.0000,1.5146881559897456
2120.0000,1.5135201629279091
2130.0000,1.5116714933876449
2140.0000,1.5099528222699028
2150.0000,1.5081356879763914
2160.0000,1.5063900776810986
2170.0000,1.5045345344604317
2180.0000,1.5029851371678251
2190.0000,1.5013312564603061
2200.0000,1.4998443679532538
2210.0000,1.4984616112148421
2220.0000,1.4969633238678755
2230.0000,1.4958524050846986
2240.0000,1.4945033332940476
2250.0000,1.4931162638561599
