k,ferr
0,5.3053513694466234
1,4.1728789761923712
2,3.3769838033063402
3,2.6521987217026393
4,2.5716859581887412
5,2.5578875853321108
6,2.5384799693428328
7,2.5236928966110321
8,2.5102162992539072
9,2.4977074224013900
10,2.4864270639900603
11,2.4667427426090272
12,2.4065159927689241
13,2.3733904224118390
14,2.3557597747032282
15,2.3305745758155991
16,2.3205186178374357
17,2.3077145904560257
18,2.2952935243982528
19,2.2857062477144763
20,2.2736089586618422
21,2.2644686509069372
22,2.2547277585623977
23,2.2440779589653213
24,2.2371854543323186
25,2.2314645019338815
26,2.2195119881022563
27,2.2119618089330748
28,2.2053739302199959
29,2.2000349401251711
30,2.1902170586471343
31,2.1817460377502513
32,2.1768259841812543
33,2.1702530350932761
34,2.1647138032296502
35,2.1590757667499276
36,2.1532926536133665
37,2.1481327574940319
38,2.1423222265425470
39,2.1373903145583419
40,2.1317141615254265
41,2.1268393008227910
42,2.1214675263818847
43,2.1164904505647217
44,2.1116649185543261
45,2.1063821693212037
46,2.1025203057602688
47,2.0966064050886808
48,2.0923928503261737
49,2.0872021972699097
50,2.0825961367342107
51,2.0786191663902489
52,2.0732096772116182
53,2.0691536111204809
54,2.0646155525530703
55,2.0598982322400752
56,2.0560578259891531
57,2.0514022767464395
58,2.0469333990281893
59,2.0432038185739998
60,2.0388109724247117
61,2.0343828105342432
62,2.0306357123258540
63,2.0268815515283913
64,2.0222131717963987
65,2.0183604835064508
66,2.0148845531584438
67,2.0106810585878931
68,2.0065062540353944
69,2.0028729915050376
70,1.9995102030023473
71,1.9954607207623543
72,1.9914102920291290
73,1.9878260399258254
74,1.9844877009736723
75,1.9812079475824143
76,1.9770038606980120
77,1.9733126297829306
78,1.9698978621845733
79,1.9666672074714522
80,1.9638251640608837
81,1.9588425835818322
82,1.9345034800047707
83,1.9098852924243770
84,1.9021294612615809
85,1.8972523408316455
86,1.2034587702375470
87,1.2019547914444979
88,1.2005120851138549
89,1.1991692752732053
90,1.1976260719392704
91,1.1963977421471359
92,1.1945353370965255
93,1.1921330868196025
94,1.1909144961389448
95,1.1890630768778883
96,1.1866686161226252
97,1.1854460562840039
98,1.1836613079261460
99,1.1812208992501025
100,1.1799893153211025
101,1.1783285432423327
102,1.1758036599248085
103,1.1745478284539093
104,1.1730819599054110
105,1.1704064841919626
106,1.1691188759239961
107,1.1676021301389365
108,1.1663859148531133
109,1.1647732299753446
110,1.1622418837750550
111,1.1609773942405921
112,1.1594581365678656
113,1.1582545219022502
114,1.1566331744700478
115,1.1541238446213140
116,1.1528636129697933
117,1.1513593544547831
118,1.1501507097950434
119,1.1486622610808264
120,1.1460696494556173
121,1.1447821294424274
122,1.1433163648859084
123,1.1420772451557923
124,1.1405761728012336
125,1.1393770963231107
126,1.1379265463719161
127,1.1353247810293567
128,1.1340328715026553
129,1.1325968447542758
130,1.1313411822322852
131,1.1298787899752620
132,1.1286535328036231
133,1.1271693985557223
134,1.1259696539462281
135,1.1244676947493135
136,1.1232893282478120
137,1.1218755357226515
138,1.1192873812759090
139,1.1179850590927656
140,1.1165940928341678
141,1.1153121133975521
142,1.1139082151335156
143,1.1126426621385457
144,1.1112292098460430
145,1.1099765852196819
146,1.1085566662413404
147,1.1073137912079254
148,1.1058902834912741
149,1.1046542138025819
150,1.1032298579287134
151,1.1019978093963820
152,1.1005752744663582
153,1.0993445555755401
154,1.0979265016376762
155,1.0966944504619913
156,1.0952835899340405
157,1.0940475128489446
158,1.0926466732976483
159,1.0914037831244903
160,1.0900159738007706
161,1.0887633250202695
162,1.0873918097120485
163,1.0861262282661208
164,1.0847746073302775
165,1.0834926122800794
166,1.0821649171682608
167,1.0808626310796869
168,1.0795634353072803
169,1.0782364796685586
170,1.0769710310322247
171,1.0756144022368177
172,1.0743887822190581
173,1.0729967026214136
174,1.0718180204052361
175,1.0703837576092052
176,1.0692603880618439
177,1.0677760338438900
178,1.0667179113479401
179,1.0651741093288554
180,1.0641930926173018
181,1.0625787008215821
182,1.0615066682824790
183,1.0598334685785580
184,1.0575804113320990
185,1.0563317289787766
186,1.0550333261804545
187,1.0537351339110044
188,1.0525023984073234
189,1.0511446568296410
190,1.0499908414024690
191,1.0485612310268242
192,1.0475027087634932
193,1.0459860392139462
194,1.0450431330279137
195,1.0434205854719238
196,1.0423431223216395
197,1.0409059085650241
198,1.0385150903115121
199,1.0372182283072038
200,1.0360288068889778
201,1.0346502507380313
202,1.0335726003080532
203,1.0320925330930115
204,1.0311541519159801
205,1.0295473652882094
206,1.0284719049043276
207,1.0271540957374747
208,1.0247037973056412
209,1.0233820164566778
210,1.0222645168351869
211,1.0208359256995825
212,1.0198695237966371
213,1.0183044605125775
214,1.0172390766116481
215,1.0159307663262078
216,1.0134970220958714
217,1.0121735420973501
218,1.0110918140102902
219,1.0096442007384054
220,1.0087434981565755
221,1.0071334718661404
222,1.0060530450027072
223,1.0046473300676579
224,1.0035030120017907
225,1.0021936992882532
226,1.0009642931808231
227,0.9997836360372327
228,0.9984403375153886
229,0.9974324999817854
230,0.9959359604693926
231,0.9948863976921947
232,0.9936222200006073
233,0.9911983088116153
234,0.9898688853697202
235,0.9888679110552082
236,0.9873760109478237
237,0.9863266726921526
238,0.9849109123192618
239,0.9837935936093914
240,0.9824859704237903
241,0.9812743772328921
242,0.9801169712524633
243,0.9787740374584853
244,0.9778265696365324
245,0.9762997992601452
246,0.9752391773381516
247,0.9738623693536862
248,0.9727208589105334
249,0.9714771601302974
250,0.9702204946669487
251,0.9691668647699622
252,0.9677454547250863
253,0.9667155496671617
254,0.9653044996384371
255,0.9642003893105082
256,0.9629142662110578
257,0.9617027747239315
258,0.9605977667715061
259,0.9592302036431076
260,0.9582173047712148
261,0.9568880521299736
262,0.9545871405734079
263,0.9532717446302003
264,0.9523645697834754
265,0.9508344727333209
266,0.9497686054170331
267,0.9484502473053724
268,0.9472808240500498
269,0.9461456702437883
270,0.9448205971962460
271,0.9438194203529678
272,0.9424702243724774
273,0.9402067615852968
274,0.9388996882707805
275,0.9380296168677080
276,0.9364865970013624
277,0.9354127442655777
278,0.9341366335506255
279,0.9329435130833241
280,0.9318862679391509
281,0.9305088639218151
282,0.9294899603027401
283,0.9281278067182217
284,0.9270135493547503
285,0.9258306094560048
286,0.9245667673613746
287,0.9236658881386677
288,0.9221663552323022
289,0.9211045178638275
290,0.9198365882809590
291,0.9186494618294105
292,0.9176211837766369
293,0.9162346345604604
294,0.9152111008121604
295,0.9138840950952902
296,0.9127521564577535
297,0.9116372432307557
298,0.9103302118779015
299,0.9093323443822792
300,0.9079660833934065
301,0.9068713775012771
302,0.9056973243805575
303,0.9044445968417649
304,0.9035849161423793
305,0.9020733816718773
306,0.9010051844615753
307,0.8997939363915368
308,0.8985780374285794
309,0.8976671049509435
310,0.8962058172013552
311,0.8951528919242169
312,0.8939225312052576
313,0.8927270456265245
314,0.8917902692820588
315,0.8903556574989536
316,0.8893122418834379
317,0.8880761906989476
318,0.8868909539082764
319,0.8859531129917912
320,0.8845266968341353
321,0.8834842859312121
322,0.8822571924760418
323,0.8810691331370828
324,0.8801520593136548
325,0.8787139870983949
326,0.8776676283310605
327,0.8764625172580224
328,0.8752621317800265
329,0.8743915490639586
330,0.8729232230195079
331,0.8718640086304750
332,0.8706978229510929
333,0.8694704891432473
334,0.8684984127944092
335,0.8671513823238483
336,0.8660727235207563
337,0.8649637951126663
338,0.8636962778412630
339,0.8627086804716259
340,0.8614051876064525
341,0.8602956633024413
342,0.8592676742747818
343,0.8579401378964459
344,0.8569308789891175
345,0.8556877721023083
346,0.8545350645680330
347,0.8536221531602630
348,0.8522097560074896
349,0.8511677000144297
350,0.8500099038649527
351,0.8487938048956732
352,0.8478246495621962
353,0.8465072106623153
354,0.8454202763453668
355,0.8443811580261157
356,0.8430772381751215
357,0.8420743853593317
358,0.8408452294343495
359,0.8396928346834723
360,0.8388207483627378
361,0.8373905099954622
362,0.8363406277423215
363,0.8352363446985996
364,0.8339915467926389
365,0.8330101133332377
366,0.8317478379548436
367,0.8306283046598958
368,0.8297041893609072
369,0.8283236812639009
370,0.8272911581239250
371,0.8261657083217211
372,0.8249450323026022
373,0.8239721185637540
374,0.8227060987439544
375,0.8215961753252624
376,0.8206739277824012
377,0.8193007800373417
378,0.8182698206920895
379,0.8171609528395001
380,0.8159350296434754
381,0.8149594813575007
382,0.8137170176953376
383,0.8125956010082516
384,0.8117278842866342
385,0.8103216881793313
