k,ferr
0,5.3053513694466234
1,4.1728789761923712
2,3.2454486920093695
3,2.5162261230226162
4,2.3520685552778766
5,2.3431434318927500
6,1.9577123276939179
7,1.7780354174253690
8,1.6174194652066110
9,1.2142965378412622
10,1.0328908911093739
11,-0.2244873237250594
12,-0.3480216556747602
13,-1.4004942026812870
14,-2.3135018371296248
15,-3.3783660452018931
16,-3.6997917357808148
17,-3.8625194212455889
18,-5.1351898232287061
19,-6.0961955848552369
20,-6.6307650817245101
21,-8.2817997920595481
22,-8.4943526571581636
23,-8.5134059445335950
24,-8.5544912843914336
25,-9.1944139232905346
26,-9.7299452102589790
27,-9.7640340604174689
28,-10.2267181255393815
29,-11.3033397781313987
30,-11.5388355691766726
31,-12.9748167129600329
32,-13.4570831043897385
33,-13.6380509786223190
34,-14.3436060432087533
